n        | Insert Min   | Insert Avg   | Insert Max   | Theoretical (i) | Search Min   | Search Avg   | Search Max   | Theoretical (s)
5        | 1.20         | 1.38         | 1.60         | 2.32            | 1.20         | 1.20         | 1.20         | 2.32        
50       | 4.36         | 4.44         | 4.56         | 5.64            | 3.88         | 3.93         | 4.04         | 5.64        
500      | 7.64         | 7.71         | 7.76         | 8.97            | 5.52         | 5.71         | 5.83         | 8.97        
1000     | 8.71         | 8.74         | 8.77         | 9.97            | 6.05         | 6.24         | 6.64         | 9.97        
2500     | 10.03        | 10.07        | 10.12        | 11.29           | 6.43         | 6.61         | 6.85         | 11.29       
5000     | 11.04        | 11.09        | 11.13        | 12.29           | 6.62         | 6.82         | 7.06         | 12.29       
7500     | 11.63        | 11.68        | 11.76        | 12.87           | 6.82         | 7.11         | 7.46         | 12.87       
10000    | 12.06        | 12.11        | 12.18        | 13.29           | 7.00         | 7.21         | 7.78         | 13.29       
25000    | 13.41        | 13.45        | 13.51        | 14.61           | 7.10         | 7.38         | 7.74         | 14.61       
50000    | 14.43        | 14.47        | 14.52        | 15.61           | 7.27         | 7.57         | 8.10         | 15.61       
