n,insert_min,insert_avg,insert_max,search_min,search_avg,search_max,theoretical_log2n
5,0,0.00,0,1,1.00,1,2.32
50,0,0.00,0,1,1.00,1,5.64
500,0,0.00,0,1,1.00,1,8.97
1000,0,0.00,0,1,1.00,1,9.97
2500,0,0.00,0,1,1.00,1,11.29
5000,0,0.00,0,1,1.00,1,12.29
7500,0,0.00,0,1,1.00,1,12.87
10000,0,0.00,0,1,1.00,1,13.29
25000,0,0.00,0,1,1.00,1,14.61
50000,0,0.00,0,1,1.00,1,15.61
