n,insert_min,insert_avg,insert_max,search_min,search_avg,search_max,theoretical_log2n
5,1,1.48,1,1,1.20,1,2.32
50,4,4.42,4,3,3.92,3,5.64
500,7,7.70,7,5,5.80,6,8.97
1000,8,8.71,8,5,6.18,6,9.97
2500,10,10.05,10,6,6.55,6,11.29
5000,11,11.10,11,6,6.77,7,12.29
7500,11,11.68,11,6,7.04,7,12.87
10000,12,12.10,12,6,7.02,7,13.29
25000,13,13.45,13,7,7.38,7,14.61
50000,14,14.49,14,7,7.63,7,15.61
