n        | Insert Min   | Insert Avg   | Insert Max   | Theoretical (i) | Search Min   | Search Avg   | Search Max   | Theoretical (s)
5        | 1            | 1.44         | 1            | 11.61        | 1            | 1.20         | 1            | 2.32        
50       | 4            | 4.43         | 4            | 282.19       | 3            | 3.93         | 4            | 5.64        
500      | 7            | 7.72         | 7            | 4482.89      | 5            | 5.77         | 5            | 8.97        
1000     | 8            | 8.73         | 8            | 9965.78      | 5            | 6.17         | 6            | 9.97        
2500     | 10           | 10.08        | 10           | 28219.28     | 6            | 6.61         | 6            | 11.29       
5000     | 11           | 11.08        | 11           | 61438.56     | 6            | 6.81         | 7            | 12.29       
7500     | 11           | 11.68        | 11           | 96545.06     | 6            | 6.99         | 7            | 12.87       
10000    | 12           | 12.10        | 12           | 132877.12    | 6            | 7.11         | 7            | 13.29       
25000    | 13           | 13.45        | 13           | 365241.01    | 6            | 7.31         | 7            | 14.61       
50000    | 14           | 14.46        | 14           | 780482.02    | 7            | 7.39         | 7            | 15.61       
