n        | Insert Min   | Insert Avg   | Insert Max   | Theoretical (i) | Search Min   | Search Avg   | Search Max   | Theoretical (s)
5        | 1            | 1.44         | 1            | 2.32            | 1            | 1.20         | 1            | 2.32        
50       | 4            | 4.40         | 4            | 5.64            | 3            | 3.93         | 3            | 5.64        
500      | 7            | 7.69         | 7            | 8.97            | 5            | 5.77         | 5            | 8.97        
1000     | 8            | 8.73         | 8            | 9.97            | 5            | 6.21         | 6            | 9.97        
2500     | 10           | 10.07        | 10           | 11.29           | 6            | 6.60         | 6            | 11.29       
5000     | 11           | 11.08        | 11           | 12.29           | 6            | 6.80         | 6            | 12.29       
7500     | 11           | 11.67        | 11           | 12.87           | 6            | 6.95         | 7            | 12.87       
10000    | 12           | 12.11        | 12           | 13.29           | 6            | 7.10         | 7            | 13.29       
25000    | 13           | 13.45        | 13           | 14.61           | 6            | 7.43         | 7            | 14.61       
50000    | 14           | 14.47        | 14           | 15.61           | 6            | 7.42         | 7            | 15.61       
